_id,text,distance,checked,lat,lng
510afb516f9bdd39b0bc1d2d,3721 LANCASTER AV PHILADELPHIA PA,2.89275077343,True,39.960144,-75.195972
510afb516f9bdd39b0bc1d2e,5706 CHESTER AV PHILADELPHIA PA,5.70965547116,True,39.936347,-75.227203
510afb516f9bdd39b0bc1d2f,1400 GILHAM ST PHILADELPHIA PA,12.410798148,True,40.042139,-75.076974
510afb516f9bdd39b0bc1d30,4399 MAIN ST PHILADELPHIA PA,9.69097321048,True,40.025899,-75.224677
510afb516f9bdd39b0bc1d31,2309 N BROAD ST PHILADELPHIA PA,4.04934965843,True,39.988282,-75.155577
510afb516f9bdd39b0bc1d32,1942 DELANCEY ST PHILADELPHIA PA,1.57798435523,True,39.948273,-75.181296
510afb516f9bdd39b0bc1d33,2301 MARKET ST PHILADELPHIA PA,1.33964690199,True,39.954621,-75.179021
510afb516f9bdd39b0bc1d34,613 LOMBARD ST PHILADELPHIA PA,1.38362667682,True,39.943233,-75.152581
510afb516f9bdd39b0bc1d35,4629 FRANKFORD AV PHILADELPHIA PA,9.70147643046,True,40.015278,-75.084659
510afb516f9bdd39b0bc1d36,5944 MARKET ST PHILADELPHIA PA,6.63247891571,True,39.961762,-75.240426
510afb516f9bdd39b0bc1d37,213 N 9TH ST PHILADELPHIA PA,0.886680449493,True,39.955706,-75.154121
510afb516f9bdd39b0bc1d38,1842 E PASSYUNK AVE PHILADELPHIA PA,2.87830892096,True,39.926663,-75.167369
510afb516f9bdd39b0bc1d39,1200 MONTGOMERY AV PHILADELPHIA PA,3.15179767436,True,39.979733,-75.153857
510afb516f9bdd39b0bc1d3a,S S 17TH ST PHILADELPHIA PA,1.41417983012,True,39.941032,-75.171055
510afb516f9bdd39b0bc1d3b,1447 OLNEY AV PHILADELPHIA PA,9.77731223666,True,40.039303,-75.146218
510afb516f9bdd39b0bc1d3c,1107 FEDERAL ST PHILADELPHIA PA,1.93113586027,True,39.935043,-75.162372
510afb516f9bdd39b0bc1d3d,300 GIRARD AV PHILADELPHIA PA,2.68899386749,True,39.969703,-75.141557
510afb516f9bdd39b0bc1d3e,199 S 13TH ST PHILADELPHIA PA,0.38699559801,True,39.949094,-75.162103
510afb516f9bdd39b0bc1d3f,3899 BARING ST PHILADELPHIA PA,3.2346277816,True,39.960569,-75.199995
510afb516f9bdd39b0bc1d40,200 CATHARINE ST PHILADELPHIA PA,2.19746832855,True,39.937604,-75.146468
510afb516f9bdd39b0bc1d41,2007 SANSOM ST PHILADELPHIA PA,0.892387310283,True,39.951344,-75.173959
510afb516f9bdd39b0bc1d42,1224 CHESTNUT ST PHILADELPHIA PA,0.305517862219,True,39.950154,-75.161486
510afb516f9bdd39b0bc1d43,729 SANSOM ST PHILADELPHIA PA,0.927710240122,True,39.948866,-75.153710
510afb516f9bdd39b0bc1d44,1416 ERIE AV PHILADELPHIA PA,6.38254279132,True,40.009118,-75.152195
510afb516f9bdd39b0bc1d45,620 S 3RD ST PHILADELPHIA PA,1.85516319575,True,39.940859,-75.147844
510afb516f9bdd39b0bc1d46,1600 OLNEY AV PHILADELPHIA PA,9.71705427055,True,40.038991,-75.148356
510afb516f9bdd39b0bc1d47,1535 SPRING GARDEN ST PHILADELPHIA PA,1.18185589662,True,39.963005,-75.164125
510afb516f9bdd39b0bc1d48,7125 FRANKFORD AV PHILADELPHIA PA,13.7354425594,True,40.035066,-75.043786
510afb516f9bdd39b0bc1d49,7136 FRANKFORD AV PHILADELPHIA PA,13.7585047126,True,40.035473,-75.043901
510afb516f9bdd39b0bc1d4a,1914 W SPRUCE ST PHILADELPHIA PA,0.985238105354,True,39.947820,-75.173484
510afb516f9bdd39b0bc1d4b,400 REED ST PHILADELPHIA PA,2.60546361169,True,39.930416,-75.152950
510afb516f9bdd39b0bc1d4c,3142 KENSINGTON AV PHILADELPHIA PA,6.42054845424,True,39.996197,-75.114499
510afb516f9bdd39b0bc1d4d,5613 N 11TH ST PHILADELPHIA PA,9.76778695222,True,40.038211,-75.139142
510afb516f9bdd39b0bc1d4e,100 N HUTCHINSON ST PHILADELPHIA PA,0.736086752599,True,39.954395,-75.155350
510afb516f9bdd39b0bc1d4f,2011 CHESTNUT ST PHILADELPHIA PA,0.885618876596,True,39.952174,-75.173964
510afb516f9bdd39b0bc1d50,114 S 20TH ST PHILADELPHIA PA,0.869238297222,True,39.951502,-75.173710
510afb516f9bdd39b0bc1d51,911 ARCH ST PHILADELPHIA PA,0.717814037977,True,39.953535,-75.155291
510afb516f9bdd39b0bc1d52,1810 CALLOWHILL ST PHILADELPHIA PA,0.985667389845,True,39.960256,-75.168897
510afb516f9bdd39b0bc1d53,522 S 4TH ST PHILADELPHIA PA,1.68306275476,True,39.942012,-75.149199
510afb516f9bdd39b0bc1d54,6637 CASTOR AV PHILADELPHIA PA,12.6073723505,True,40.042591,-75.073915
